Elapsed_Seconds,CPU_Percent,Memory_MB,Net_Sent_KB_s,Net_Recv_KB_s
0,0.0,132.34,0.09,4.78
1,0.0,132.34,6.11,9.05
2,0.0,132.34,33.61,82.45
3,0.0,132.34,3.84,9.17
4,0.0,132.34,4.18,7.21
5,0.0,132.34,7.17,8.74
6,0.0,132.34,2.87,8.4
7,0.0,132.34,7.25,3.41
8,0.0,132.34,0.05,5.12
9,0.0,132.34,8.5,3.37
10,0.0,132.34,0.13,5.37
11,0.0,132.34,8.64,3.55
12,0.0,132.34,4.3,5.31
13,0.0,132.34,28.87,14.63
14,0.0,132.34,20.98,48.32
15,0.0,132.34,0.61,7.55
16,0.0,132.34,12.66,2.01
17,0.0,132.34,25.78,47.73
18,0.0,132.34,1.98,2.67
19,0.0,132.34,9.02,10.04
20,0.0,132.34,3.39,3.55
21,0.0,132.34,1.85,0.81
22,0.0,132.34,5.27,11.05
23,0.0,132.34,0.0,1.01
24,0.0,132.34,0.04,0.04
25,0.0,132.34,0.11,0.12
26,0.0,132.34,0.17,0.29
27,0.0,132.34,0.24,1.91
28,0.0,132.34,0.0,0.0
29,0.0,132.34,2.94,2.46
30,0.0,132.36,9.32,11.33
31,0.0,132.51,6.51,10.81
32,1.5,133.31,5.88,37.06
33,51.6,133.31,10.17,33.13
34,96.9,134.34,25.35,55.37
35,98.4,135.39,7.48,23.84
36,93.8,135.39,10.63,31.31
37,66.2,135.47,10.33,38.27
38,63.1,135.81,33.02,25.26
39,48.4,135.81,11.9,90.9
40,61.5,136.36,11.36,41.3
41,67.2,136.43,13.77,44.72
42,57.0,136.64,17.39,36.7
43,23.4,135.8,22.76,60.66
44,15.4,134.62,22.48,61.08
45,23.1,134.58,21.71,55.35
46,3.1,135.07,22.06,56.72
47,23.1,135.34,31.85,69.92
48,25.0,136.0,20.26,58.15
49,6.2,135.21,19.66,51.39
50,10.9,135.25,22.07,57.4
51,41.6,101.95,22.82,58.14
52,15.6,103.6,23.88,61.06
53,16.9,105.16,23.74,56.85
54,17.2,106.92,20.43,63.09
55,21.5,108.59,38.68,48.9
56,10.9,109.45,23.05,87.67
57,7.7,109.84,26.78,65.11
58,20.3,114.07,20.94,46.78
59,23.1,113.91,23.25,64.43
60,9.4,117.21,43.56,74.76
61,7.7,116.55,25.83,103.37
62,10.9,116.74,22.16,59.28
63,9.2,116.7,35.26,70.79
64,10.9,117.55,20.4,54.08
65,21.5,117.82,27.4,68.94
66,9.4,117.14,24.91,84.2
67,7.7,121.17,19.61,62.73
68,0.0,123.74,22.84,63.51
69,3.1,125.09,26.89,67.75
70,15.6,129.39,23.23,64.87
71,27.7,130.27,21.86,52.94
72,12.5,131.33,20.36,54.88
73,12.3,130.04,20.23,62.59
74,6.2,132.55,22.05,74.58
75,3.1,132.55,24.87,44.77
76,1.5,132.56,10.86,18.93
77,0.0,132.56,18.38,0.37
78,0.0,132.56,0.16,29.31
79,0.0,132.56,6.36,1.5
80,0.0,132.56,5.41,2.51
81,0.0,132.56,4.12,9.63
82,0.0,132.56,0.0,0.0
83,0.0,132.56,24.86,2.49
84,0.0,132.56,0.14,45.23
85,0.0,132.56,0.07,0.08
86,0.0,132.56,2.45,1.06
87,0.0,133.1,0.69,2.72
88,0.0,133.1,0.0,0.0
89,0.0,133.1,0.0,0.0
90,0.0,133.1,2.04,60.31
